Pollster,Lab,Con,LD,Other,nsize,date,na,rcon,rlab,rld,roth,time
Angus Reid,26,39,18,17,2003,2010-03-10,FALSE,36.9,29.7,23.6,9.8,-12679
YouGov,32,36,20,12,1524,2010-03-09,FALSE,36.9,29.7,23.6,9.8,-12678
YouGov,34,39,16,11,1747,2010-03-08,FALSE,36.9,29.7,23.6,9.8,-12677
Opinium,30,37,16,16,1960,2010-03-08,FALSE,36.9,29.7,23.6,9.8,-12677
Harris Interactive,29,37,18,16,1498,2010-03-08,FALSE,36.9,29.7,23.6,9.8,-12677
YouGov,33,38,17,12,1558,2010-03-05,FALSE,36.9,29.7,23.6,9.8,-12674
ICM,31,40,18,11,1005,2010-03-04,FALSE,36.9,29.7,23.6,9.8,-12673
YouGov,32,38,17,13,1640,2010-03-04,FALSE,36.9,29.7,23.6,9.8,-12673
YouGov,32,38,19,12,1661,2010-03-03,FALSE,36.9,29.7,23.6,9.8,-12672
Kantar,31,39,19,11,1973,2010-03-03,FALSE,36.9,29.7,23.6,9.8,-12672
YouGov,33,38,16,13,1479,2010-03-02,FALSE,36.9,29.7,23.6,9.8,-12671
YouGov,32,39,17,12,1505,2010-03-01,FALSE,36.9,29.7,23.6,9.8,-12670
ComRes,32,37,19,12,1005,2010-02-28,FALSE,36.9,29.7,23.6,9.8,-12669
YouGov,35,37,17,11,1436,2010-02-26,FALSE,36.9,29.7,23.6,9.8,-12667
YouGov,33,39,16,12,1472,2010-02-25,FALSE,36.9,29.7,23.6,9.8,-12666
YouGov,32,38,19,10,1473,2010-02-24,FALSE,36.9,29.7,23.6,9.8,-12665
Kantar,32,36,21,12,1954,2010-02-24,FALSE,36.9,29.7,23.6,9.8,-12665
YouGov,32,38,17,12,1469,2010-02-23,FALSE,36.9,29.7,23.6,9.8,-12664
YouGov,33,39,17,12,1578,2010-02-22,FALSE,36.9,29.7,23.6,9.8,-12663
Ipsos MORI,32,37,19,12,1533,2010-02-22,FALSE,36.9,29.7,23.6,9.8,-12663
Harris Interactive,30,39,22,9,918,2010-02-22,FALSE,36.9,29.7,23.6,9.8,-12663
ICM,30,37,20,13,1004,2010-02-21,FALSE,36.9,29.7,23.6,9.8,-12662
YouGov,33,39,17,11,1472,2010-02-19,FALSE,36.9,29.7,23.6,9.8,-12660
Angus Reid,26,38,19,16,4004,2010-02-19,FALSE,36.9,29.7,23.6,9.8,-12660
YouGov,32,39,18,11,1558,2010-02-18,FALSE,36.9,29.7,23.6,9.8,-12659
ComRes,30,38,20,11,1085,2010-02-17,FALSE,36.9,29.7,23.6,9.8,-12658
Angus Reid,26,40,18,16,2002,2010-02-17,FALSE,36.9,29.7,23.6,9.8,-12658
YouGov,30,39,18,13,2145,2010-02-17,FALSE,36.9,29.7,23.6,9.8,-12658
ComRes,29,40,21,10,1009,2010-02-11,FALSE,36.9,29.7,23.6,9.8,-12652
Angus Reid,25,38,20,16,2002,2010-02-10,FALSE,36.9,29.7,23.6,9.8,-12651
Populus,30,40,20,11,1502,2010-02-07,FALSE,36.9,29.7,23.6,9.8,-12648
ICM,30,39,20,11,1001,2010-02-04,FALSE,36.9,29.7,23.6,9.8,-12645
ComRes,31,38,19,12,1001,2010-01-31,FALSE,36.9,29.7,23.6,9.8,-12641
BPIX,30,39,18,13,1524,2010-01-30,FALSE,36.9,29.7,23.6,9.8,-12640
YouGov,31,38,19,12,2054,2010-01-29,FALSE,36.9,29.7,23.6,9.8,-12639
YouGov,31,40,18,11,2044,2010-01-28,FALSE,36.9,29.7,23.6,9.8,-12638
Ipsos MORI,32,40,16,12,1001,2010-01-28,FALSE,36.9,29.7,23.6,9.8,-12638
Angus Reid,24,40,19,16,2004,2010-01-27,FALSE,36.9,29.7,23.6,9.8,-12637
ICM,29,40,21,10,1000,2010-01-24,FALSE,36.9,29.7,23.6,9.8,-12634
ComRes,29,38,19,14,1004,2010-01-21,FALSE,36.9,29.7,23.6,9.8,-12631
YouGov,31,40,18,11,2033,2010-01-15,FALSE,36.9,29.7,23.6,9.8,-12625
ComRes,29,42,19,10,1005,2010-01-14,FALSE,36.9,29.7,23.6,9.8,-12624
Angus Reid,24,40,20,17,2010,2010-01-10,FALSE,36.9,29.7,23.6,9.8,-12620
Populus,28,41,19,12,1509,2010-01-10,FALSE,36.9,29.7,23.6,9.8,-12620
ICM,30,40,18,12,1003,2010-01-07,FALSE,36.9,29.7,23.6,9.8,-12617
YouGov,30,42,16,12,2832,2010-01-07,FALSE,36.9,29.7,23.6,9.8,-12617
YouGov,31,40,17,12,4167,2010-01-06,FALSE,36.9,29.7,23.6,9.8,-12616
YouGov,30,40,17,12,1848,2009-12-30,FALSE,36.9,29.7,23.6,9.8,-12609
ComRes,29,38,19,14,1006,2009-12-20,FALSE,36.9,29.7,23.6,9.8,-12599
Angus Reid,24,40,20,15,2010,2009-12-18,FALSE,36.9,29.7,23.6,9.8,-12597
YouGov,28,40,18,14,2052,2009-12-17,FALSE,36.9,29.7,23.6,9.8,-12596
ICM,31,40,18,11,1009,2009-12-13,FALSE,36.9,29.7,23.6,9.8,-12592
Ipsos MORI,26,43,20,12,1017,2009-12-13,FALSE,36.9,29.7,23.6,9.8,-12592
YouGov,31,40,16,13,2044,2009-12-11,FALSE,36.9,29.7,23.6,9.8,-12590
ComRes,24,41,21,14,1001,2009-12-10,FALSE,36.9,29.7,23.6,9.8,-12589
Angus Reid,23,40,19,19,2002,2009-12-10,FALSE,36.9,29.7,23.6,9.8,-12589
Populus,30,38,20,12,1505,2009-12-06,FALSE,36.9,29.7,23.6,9.8,-12585
YouGov,27,40,18,15,2095,2009-12-04,FALSE,36.9,29.7,23.6,9.8,-12583
ICM,29,40,19,12,1001,2009-12-03,FALSE,36.9,29.7,23.6,9.8,-12582
ComRes,27,37,20,16,1003,2009-11-29,FALSE,36.9,29.7,23.6,9.8,-12578
YouGov,29,39,19,13,2004,2009-11-26,FALSE,36.9,29.7,23.6,9.8,-12575
Angus Reid,22,39,21,18,2004,2009-11-23,FALSE,36.9,29.7,23.6,9.8,-12572
Ipsos MORI,31,37,17,13,1006,2009-11-15,FALSE,36.9,29.7,23.6,9.8,-12564
ICM,29,42,19,10,1010,2009-11-15,FALSE,36.9,29.7,23.6,9.8,-12564
YouGov,27,41,18,14,2026,2009-11-13,FALSE,36.9,29.7,23.6,9.8,-12562
ComRes,25,39,17,19,1007,2009-11-12,FALSE,36.9,29.7,23.6,9.8,-12561
